PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,3:00 PM,3PA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,+/-
Joel Embiid,PHI,29,66,43,23,2284.1,2183,728,1328,66,200,661,771,113,557,670,274,226,66,112,424
Julius Randle,NYK,28,77,44,33,2737.3,1936,658,1432,218,636,402,531,141,626,767,316,216,49,21,170
Lauri Markkanen,UTA,26,66,32,34,2272.5,1691,571,1144,200,510,349,399,130,440,570,123,127,42,38,163
Nikola Jokic,DEN,28,69,48,21,2323,1690,646,1022,57,149,341,415,167,650,817,678,247,87,47,640
Bam Adebayo,MIA,25,75,40,35,2598,1529,602,1114,1,12,324,402,184,504,688,240,187,88,61,117
Domantas Sabonis,SAC,27,79,47,32,2735.6,1510,577,938,31,83,325,438,251,722,973,573,230,65,39,212
Kristaps Porzingis,WAS,27,65,27,38,2119.5,1505,507,1018,137,356,354,416,114,432,546,174,137,58,100,80
Anthony Davis,LAL,30,56,31,25,1904.5,1451,542,962,19,74,348,444,195,507,702,148,122,59,114,205
Nikola Vucevic,CHI,32,82,40,42,2746.4,1447,597,1148,121,347,132,158,159,744,903,265,139,60,57,-20
Evan Mobley,CLE,22,79,48,31,2715.3,1277,525,947,22,102,205,304,187,524,711,224,146,60,119,339
Brook Lopez,MIL,35,78,57,21,2372.5,1239,477,899,136,364,149,190,157,363,520,99,107,37,193,398
Deandre Ayton,PHX,24,67,36,31,2035.3,1203,522,887,7,24,152,200,172,495,667,115,120,37,53,-7
Jaren Jackson Jr.,MEM,23,63,41,22,1787.5,1173,416,822,100,282,241,306,108,318,426,60,107,65,189,366
Jonas Valanciunas,NOP,31,79,40,39,1968.2,1115,446,816,38,109,185,224,225,579,804,140,159,20,52,-10
Myles Turner,IND,27,62,29,33,1825.2,1113,402,733,93,249,216,276,88,378,466,89,103,36,140,-47
Alperen Sengun,HOU,20,75,18,57,2170.7,1109,442,799,19,57,206,288,242,436,678,291,193,70,70,-283
Jarrett Allen,CLE,25,68,44,24,2220.1,969,403,626,1,10,162,221,221,445,666,113,93,54,84,345
Nic Claxton,BKN,24,76,41,35,2270.7,961,414,587,0,2,133,246,184,518,702,144,96,65,189,119
Rudy Gobert,MIN,31,70,34,36,2148.5,939,360,546,0,3,219,340,231,583,814,87,122,56,95,-7
John Collins,ATL,25,71,37,34,2129.6,931,359,707,70,240,143,178,77,385,462,85,79,42,73,-21
Jakob Poeltl,TOR,27,72,26,46,1906.1,897,389,618,0,1,119,201,236,417,653,197,125,66,86,-146
Wendell Carter Jr.,ORL,24,57,26,31,1689.5,868,322,613,80,225,144,195,120,377,497,132,106,30,33,-41
Mason Plumlee,LAC,33,79,28,51,2052.9,857,329,484,0,0,199,313,229,471,700,245,117,46,47,-269
Kelly Olynyk,UTA,32,68,28,40,1941.6,847,278,557,93,236,198,232,82,338,420,252,168,60,37,14
Ivica Zubac,LAC,26,76,43,33,2169.4,818,326,514,0,2,166,238,236,520,756,77,117,29,98,-33
Onyeka Okongwu,ATL,22,80,41,39,1848.6,791,317,497,4,13,153,196,217,359,576,81,81,56,107,63
Naz Reid,MIN,23,68,32,36,1250.9,781,310,577,75,217,86,127,73,260,333,77,92,42,53,-128
Clint Capela,ATL,29,65,35,30,1730.1,779,350,536,0,1,79,131,258,459,717,58,54,45,79,-30
Jalen McDaniels,PHI,25,80,31,49,1912.9,755,281,617,77,232,116,138,63,283,346,130,93,83,34,-149
Zach Collins,SAS,25,63,20,43,1440.6,731,284,548,55,147,108,142,116,286,402,180,129,37,49,-239
Chris Boucher,TOR,30,76,39,37,1523.5,712,261,529,62,189,128,168,157,264,421,29,41,47,64,-18
Daniel Gafford,WAS,24,78,32,46,1604.2,705,289,395,0,0,127,187,163,270,433,84,85,33,99,-89
Santi Aldama,MEM,22,77,47,30,1681.7,696,247,525,94,266,108,144,85,286,371,97,60,45,48,91
Jusuf Nurkic,POR,28,52,24,28,1391.4,694,262,505,43,119,127,192,114,357,471,149,119,43,44,9
Walker Kessler,UTA,21,74,34,40,1703.2,679,298,414,1,3,82,159,231,389,620,69,58,26,173,72
Jalen Smith,IND,23,68,31,37,1278.8,642,242,508,54,191,104,137,129,265,394,66,72,21,60,-95
Bol Bol,ORL,23,70,26,44,1505.4,634,261,478,30,113,82,108,69,336,405,69,112,30,85,-146
Al Horford,BOS,37,63,44,19,1921.4,616,228,479,145,325,15,21,73,317,390,189,37,30,61,309
Jalen Duren,DET,19,67,16,51,1670.1,612,258,398,0,2,96,157,229,366,595,75,92,44,59,-279
Karl-Anthony Towns,MIN,27,29,15,14,957,602,212,428,60,164,118,135,48,188,236,140,86,20,17,39
Moritz Wagner,ORL,26,57,27,30,1109.5,600,198,396,51,163,153,182,69,190,259,84,68,37,13,-27
Thomas Bryant,DEN,25,59,33,26,1081.5,579,230,369,26,59,93,126,86,253,339,31,38,16,30,-93
Isaiah Stewart,DET,22,50,12,38,1414.1,567,195,441,67,205,110,149,115,288,403,70,68,20,34,-226
Nick Richards,CHA,25,65,21,44,1217.7,532,197,313,1,1,137,183,147,269,416,38,59,11,71,-113
Drew Eubanks,POR,26,78,31,47,1583.7,518,214,334,7,18,83,125,132,286,418,103,67,40,102,-131
Kevin Love,MIA,34,62,35,27,1239.5,509,165,424,99,296,80,91,59,340,399,116,70,16,12,109
Dwight Powell,DAL,31,76,37,39,1457.9,506,197,269,0,5,112,168,149,165,314,69,65,48,26,166
Jock Landale,PHX,27,69,35,34,978.5,456,178,337,21,84,79,105,119,161,280,68,59,16,30,141
James Wiseman,DET,22,45,11,34,867.2,450,189,339,4,20,68,97,73,194,267,30,51,7,27,-327
Larry Nance Jr.,NOP,30,65,34,31,1380.8,441,186,305,14,42,55,79,106,248,354,119,42,56,37,185
Mitchell Robinson,NYK,25,59,35,24,1588.8,435,188,280,0,0,59,122,267,288,555,53,41,56,109,185
Isaiah Hartenstein,NYK,25,82,47,35,1628.2,406,175,327,8,37,48,71,209,327,536,102,66,53,64,151
Andre Drummond,CHI,29,67,32,35,849.1,399,166,274,0,3,67,125,138,306,444,33,75,45,27,25
Mark Williams,CHA,21,43,18,25,828,387,160,251,0,0,67,97,93,211,304,18,40,28,45,-79
