PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,3:00 PM,3PA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,+/-
Jayson Tatum,BOS,25,74,52,22,2732.2,2225,727,1559,240,686,531,622,78,571,649,342,213,78,51,470
Joel Embiid,PHI,29,66,43,23,2284.1,2183,728,1328,66,200,661,771,113,557,670,274,226,66,112,424
Luka Doncic,DAL,24,66,33,33,2390.5,2138,719,1449,185,541,515,694,54,515,569,529,236,90,33,128
Giannis Antetokounmpo,MIL,28,63,47,16,2023.6,1959,707,1278,47,171,498,772,137,605,742,359,246,52,51,341
Julius Randle,NYK,28,77,44,33,2737.3,1936,658,1432,218,636,402,531,141,626,767,316,216,49,21,170
DeMar DeRozan,CHI,33,74,37,37,2681.6,1816,657,1303,46,142,456,523,34,309,343,377,153,83,36,67
Jaylen Brown,BOS,26,67,46,21,2404.9,1784,679,1383,163,487,263,344,78,381,459,232,197,75,26,256
Pascal Siakam,TOR,29,71,35,36,2652,1720,630,1313,93,287,367,474,131,425,556,415,169,65,36,123
Lauri Markkanen,UTA,26,66,32,34,2272.5,1691,571,1144,200,510,349,399,130,440,570,123,127,42,38,163
Mikal Bridges,BKN,26,83,42,41,2963.2,1671,593,1267,169,442,316,353,79,285,364,273,127,91,61,36
LeBron James,LAL,38,55,30,25,1953.9,1590,609,1219,121,377,251,327,65,392,457,375,178,50,32,214
Bam Adebayo,MIA,25,75,40,35,2598,1529,602,1114,1,12,324,402,184,504,688,240,187,88,61,117
Domantas Sabonis,SAC,27,79,47,32,2735.6,1510,577,938,31,83,325,438,251,722,973,573,230,65,39,212
Kristaps Porzingis,WAS,27,65,27,38,2119.5,1505,507,1018,137,356,354,416,114,432,546,174,137,58,100,80
Franz Wagner,ORL,21,80,33,47,2608.7,1485,542,1118,130,360,271,322,70,259,329,283,167,77,17,50
Jimmy Butler,MIA,33,64,35,29,2138,1466,479,888,36,103,472,555,141,234,375,340,101,117,21,47
Anthony Davis,LAL,30,56,31,25,1904.5,1451,542,962,19,74,348,444,195,507,702,148,122,59,114,205
Paolo Banchero,ORL,20,72,31,41,2429.7,1437,479,1122,85,285,394,534,84,413,497,269,200,60,39,-215
RJ Barrett,NYK,23,73,40,33,2475.5,1431,510,1176,121,390,290,392,60,308,368,201,164,31,15,-62
Keldon Johnson,SAS,23,63,17,46,2063.3,1385,503,1113,134,407,245,327,56,262,318,183,134,46,11,-491
Kevin Durant,PHX,34,47,34,13,1671.8,1366,483,862,93,230,307,334,17,296,313,235,156,34,67,258
Kyle Kuzma,WAS,27,64,29,35,2238.9,1357,512,1142,160,481,173,237,55,408,463,239,190,36,29,10
Paul George,LAC,33,56,32,24,1938.9,1332,459,1004,158,426,256,294,45,297,342,288,176,83,20,157
Bennedict Mathurin,IND,21,78,33,45,2222.4,1302,413,951,100,310,376,454,87,231,318,116,152,48,13,-179
Jerami Grant,POR,29,63,28,35,2245.5,1290,434,913,144,359,278,342,53,230,283,150,116,51,53,-35
Bojan Bogdanovic,DET,34,59,15,44,1892.9,1273,430,882,145,353,268,303,36,187,223,152,135,34,8,-330
Kawhi Leonard,LAC,32,52,33,19,1747.5,1239,446,871,104,250,243,279,57,281,338,204,88,72,28,220
Harrison Barnes,SAC,31,82,48,34,2662,1230,374,791,132,353,350,413,87,279,366,128,86,57,10,255
Scottie Barnes,TOR,21,77,38,39,2677.6,1179,463,1016,63,224,190,246,179,333,512,371,154,83,61,175
Jaren Jackson Jr.,MEM,23,63,41,22,1787.5,1173,416,822,100,282,241,306,108,318,426,60,107,65,189,366
Gary Trent Jr.,TOR,24,66,31,35,2118,1148,405,935,166,450,172,205,30,143,173,106,55,104,14,-52
Trey Murphy III,NOP,23,79,39,40,2448,1148,387,800,202,497,172,190,59,222,281,112,61,89,43,38
P.J. Washington,CHA,24,73,24,49,2379.6,1144,434,978,149,428,127,174,73,285,358,175,110,66,79,-375
Kevin Huerter,SAC,24,75,44,31,2202.8,1140,420,866,205,510,95,131,42,209,251,221,97,80,24,222
Kevin Porter Jr.,HOU,23,59,18,41,2023.9,1130,391,884,141,385,207,264,76,238,314,338,188,82,17,-343
O.G. Anunoby,TOR,25,67,33,34,2385.7,1124,421,885,142,367,140,167,95,237,332,131,132,128,50,132
Christian Wood,DAL,27,67,33,34,1738.4,1114,396,769,105,279,217,281,87,404,491,121,121,30,72,-46
Myles Turner,IND,27,62,29,33,1825.2,1113,402,733,93,249,216,276,88,378,466,89,103,36,140,-47
Brandon Ingram,NOP,25,45,23,22,1538.1,1112,404,835,64,164,240,272,23,223,246,262,148,32,19,96
Aaron Gordon,DEN,27,68,45,23,2055.1,1109,429,761,60,173,191,314,164,282,446,203,98,54,51,518
Tobias Harris,PHI,30,74,47,27,2435.9,1085,423,845,126,324,113,129,67,357,424,186,89,68,40,296
Michael Porter Jr.,DEN,25,62,41,21,1797.9,1080,398,817,188,454,96,120,64,277,341,65,68,37,29,418
Saddiq Bey,ATL,24,77,24,53,2128.7,1062,353,836,151,418,205,238,98,264,362,118,71,70,13,-147
Jalen Williams,OKC,22,75,36,39,2275.6,1056,414,794,73,205,155,191,84,253,337,248,123,103,35,-53
Dillon Brooks,MEM,27,73,46,27,2214.3,1047,392,991,143,439,120,154,45,199,244,189,104,65,16,205
Kenyon Martin Jr.,HOU,22,82,22,60,2292.2,1039,410,720,68,216,151,222,126,326,452,123,91,41,30,-368
De'Andre Hunter,ATL,25,67,35,32,2125.6,1029,379,822,100,286,171,207,46,238,284,94,82,35,17,-18
Tim Hardaway Jr.,DAL,31,71,37,34,2152.2,1019,340,847,212,550,127,165,21,230,251,129,60,49,12,160
