PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,3:00 PM,3PA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,+/-
Jayson Tatum,BOS,25,74,52,22,2732.2,2225,727,1559,240,686,531,622,78,571,649,342,213,78,51,470
Luka Doncic,DAL,24,66,33,33,2390.5,2138,719,1449,185,541,515,694,54,515,569,529,236,90,33,128
Shai Gilgeous-Alexander,OKC,24,68,33,35,2416,2135,704,1381,58,168,669,739,59,270,329,371,192,112,65,149
Anthony Edwards,MIN,21,79,40,39,2841.5,1946,707,1541,213,578,319,422,47,411,458,350,259,125,58,97
Donovan Mitchell,CLE,26,68,44,24,2432.4,1922,679,1402,245,635,319,368,63,226,289,301,180,99,27,338
Trae Young,ATL,24,73,38,35,2540.7,1914,597,1390,154,460,566,639,56,161,217,741,300,80,9,100
Zach LaVine,CHI,28,77,38,39,2767.9,1913,673,1388,204,544,363,428,42,303,345,327,194,69,18,18
Damian Lillard,POR,32,58,27,31,2106.6,1866,556,1202,244,658,510,558,44,233,277,425,191,50,18,105
De'Aaron Fox,SAC,25,73,44,29,2435.2,1826,682,1331,119,367,343,440,40,266,306,447,181,83,23,176
DeMar DeRozan,CHI,33,74,37,37,2681.6,1816,657,1303,46,142,456,523,34,309,343,377,153,83,36,67
Jaylen Brown,BOS,26,67,46,21,2404.9,1784,679,1383,163,487,263,344,78,381,459,232,197,75,26,256
Jalen Green,HOU,21,76,20,56,2602.2,1683,566,1359,187,554,364,463,43,241,284,281,200,59,18,-447
Jordan Poole,GSW,24,82,44,38,2458.1,1675,550,1278,214,637,361,415,32,193,225,369,252,63,21,-11
Stephen Curry,GSW,35,56,30,26,1941.2,1648,559,1133,273,639,257,281,39,302,341,352,179,52,20,268
Jalen Brunson,NYK,26,68,40,28,2378.7,1633,587,1195,134,322,325,392,40,201,241,421,142,61,15,152
Kyrie Irving,DAL,31,60,32,28,2240.6,1623,594,1203,188,496,247,273,59,245,304,331,128,66,45,222
Ja Morant,MEM,23,61,40,21,1948.3,1596,566,1214,92,300,372,497,61,296,357,493,206,66,16,302
CJ McCollum,NOP,31,75,38,37,2649.2,1568,587,1344,211,543,183,238,55,273,328,429,183,70,38,59
